zcr,spectral_c,rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
65186,2159.398277499849,4684.512534440255,-133.04898,105.73891,-22.158222,41.830692,-26.992498,19.11857,-26.566029,19.235983,-15.342011,6.989914,-10.81438,6.7986693,-11.726956,4.3977094,-6.0319614,1.9630632,-12.314546,3.2569742,-8.806516,-3.3691115,blues
37202,1537.4913865266897,3495.331815998405,-252.48178,104.94516,15.296445,42.68784,6.7704544,21.611765,-1.3111768,5.681744,-16.636873,12.16935,-1.9619522,1.9602646,-0.8982268,7.7623606,2.3758628,1.7791141,1.3305408,3.6150508,4.9066,-2.6610515,blues
57782,2155.845202161907,5011.532444079901,-109.14071,100.61966,-8.666454,47.35473,-6.5684643,39.617756,-8.521923,29.572609,-16.594837,13.170881,-24.213415,6.5830193,-8.652447,4.930261,-15.440971,1.5342573,-6.7545257,1.4151891,-3.971741,3.28716,blues
67763,2390.421813618199,5403.593285509716,-107.203255,88.4929,-4.1718993,55.477848,-8.017713,38.413597,-6.4136605,28.57575,-19.81994,13.244698,-19.248566,12.076122,-4.582267,3.7842393,-16.988953,11.621647,-7.3614445,-3.6652536,-7.1768227,1.973181,blues
42435,1719.4633657271252,3782.441190998405,-121.38979,122.49833,-14.734727,46.12214,-8.179257,20.172466,-19.171892,23.036839,-11.832727,21.154655,-6.722797,6.989505,-12.730549,5.058538,-5.185806,-1.4536048,-7.042629,2.6942124,3.4095316,-2.7137449,blues
88052,2171.395742272047,4237.303044790458,-76.74659,105.751114,-43.19778,60.959892,-8.785324,21.246374,-12.868535,18.610825,-11.409448,14.548585,-6.056462,12.733197,-9.375087,1.3552743,-3.620526,7.00021,-4.0652146,-0.27187672,-3.70646,-0.49440205,blues
38800,1155.869256708857,2169.63258818518,-233.96315,136.14453,3.3066413,48.930626,8.705189,13.989508,5.362721,0.41018468,-13.483552,16.860367,5.134755,-2.2307296,3.9538233,5.3132105,0.80794376,-1.1003903,-4.5396314,-2.425949,3.3244355,-0.605845,blues
35042,1648.8848322083284,3760.300128697796,-233.72897,101.19028,17.647957,23.734173,2.0825481,25.936398,-16.956385,15.084952,-22.273954,4.3816094,-23.201656,-6.0505824,-5.0679264,1.0592687,-5.7868643,-8.313066,-11.382149,-6.724383,-10.016952,-14.028806,blues
50057,1811.548598081515,3927.985992785673,-145.29242,102.850784,-12.567542,56.993618,2.2211092,26.614082,-4.2984266,17.341423,-8.016128,15.237472,-6.948761,7.4706593,-10.477943,-2.3457491,-6.7928314,2.6741989,-4.788207,-0.94487756,0.021901188,-2.0035145,blues
89235,2429.004094087016,5065.090666237674,-89.39791,93.79924,-14.558413,54.38949,-33.507233,19.428232,-19.761513,13.029956,-13.86451,14.617381,-14.972617,10.598986,-18.020245,6.6591744,-10.210894,6.535371,-10.852217,3.325134,-6.184798,3.0092957,blues
