danceability,energy,key,loudness,mode,tempo,time_signature,track_id,genre
0.0,0.0,0,-11.943,1,100.893,1,TRAIGCZ128F428C2D9,Country
0.0,0.0,0,-9.926,1,133.582,4,TRAIIOG12903CD02C5,Country
0.0,0.0,4,-9.089,0,124.916,4,TRAIKBB128F428AD73,Country
0.0,0.0,9,-8.961,1,91.739,5,TRAIKFW12903CF26E3,Country
0.0,0.0,9,-13.404,1,98.015,4,TRAISVG128F42706A4,Country
0.0,0.0,3,-6.857,1,45.508,4,TRAIZWI128F4247EFD,Country
0.0,0.0,9,-15.913,0,101.195,3,TRAJADN128EF3453AE,Country
0.0,0.0,4,-12.653,1,91.318,4,TRAJBSL128F428A021,Country
0.0,0.0,0,-9.059,0,177.945,4,TRAJBTZ12903CB818C,Country
0.0,0.0,11,-12.744,1,151.73,3,TRAJDTK128F429FFDF,Country
0.0,0.0,9,-14.794,0,219.298,4,TRAJHAH128F9314177,Country
0.0,0.0,7,-7.453,1,145.343,4,TRAJKQP128F427831F,Country
0.0,0.0,7,-4.43,0,147.904,4,TRAJMZL12903CA4807,Country
0.0,0.0,1,-5.278,1,99.124,4,TRAJSNU128F92F2AC0,Country
0.0,0.0,7,-9.329,1,140.9,1,TRAJWGG12903CB81AF,Country
0.0,0.0,5,-18.692,1,182.408,4,TRAJXUS128F9309CEE,Country
0.0,0.0,3,-13.505,1,96.243,3,TRAKAJM128F429BEED,Country
0.0,0.0,11,-9.068,1,168.849,4,TRAKCFG128F149D9B7,Country
0.0,0.0,10,-14.586,1,105.966,4,TRAKFQV128F145C912,Country
0.0,0.0,6,-11.011,0,87.653,4,TRAKMGY128F4269E37,Country
0.0,0.0,10,-13.232,1,141.553,4,TRAKNDG128F428A228,Country
0.0,0.0,2,-26.045,1,113.726,4,TRAKOBG128F9344340,Country
0.0,0.0,7,-9.38,1,91.637,3,TRAKOPE128F421CE6A,Country
0.0,0.0,7,-9.269,1,122.358,4,TRAKVAS128F92FC385,Country
0.0,0.0,4,-11.528,1,69.222,3,TRAKXIR128F92CF85A,Country
0.0,0.0,9,-7.854,1,158.955,3,TRAKXPA12903CA8B1A,Country
0.0,0.0,10,-9.612,1,118.096,4,TRAKXPE128F1462FF2,Country
0.0,0.0,11,-12.945,1,120.689,3,TRALDAC128F9349882,Country
0.0,0.0,9,-7.786,1,92.025,3,TRALECB128F42A35E8,Country
0.0,0.0,8,-8.669,1,95.061,4,TRALEHY128F4225882,Country
