danceability,energy,key,loudness,mode,tempo,time_signature,track_id,genre
0.0,0.0,1,-11.197,0,92.198,4,TRAAAAW128F429D538,Rap
0.0,0.0,6,-9.843,0,121.274,4,TRAAABD128F429CF47,
0.0,0.0,8,-9.689,1,100.07,1,TRAAADZ128F9348C2E,Latin
0.0,0.0,0,-9.013,1,119.293,4,TRAAAEF128F4273421,Rock
0.0,0.0,2,-4.501,1,129.738,4,TRAAAFD128F92F423A,
0.0,0.0,5,-9.323,1,147.782,3,TRAAAMO128F1481E7F,
0.0,0.0,1,-17.302,1,111.787,1,TRAAAMQ128F1460CD3,
0.0,0.0,4,-11.642,0,101.43,3,TRAAAPK128E0786D96,
0.0,0.0,4,-13.496,1,86.643,4,TRAAARJ128F9320760,Rock
0.0,0.0,7,-6.697,0,114.041,4,TRAAAVG12903CFA543,
0.0,0.0,5,-10.021,0,146.765,1,TRAAAVO128F93133D4,
0.0,0.0,7,-7.545,1,117.975,4,TRAABCL128F4286650,
0.0,0.0,9,-6.632,1,130.04,4,TRAABDL12903CAABBA,Latin
0.0,0.0,10,-7.75,0,137.334,1,TRAABJL12903CDCF1A,
0.0,0.0,3,-8.346,1,125.197,3,TRAABJV128F1460C49,
0.0,0.0,7,-8.576,1,119.826,4,TRAABLR128F423B7E3,Rock
0.0,0.0,8,-16.11,1,127.756,5,TRAABNV128F425CEE1,
0.0,0.0,6,-8.032,1,99.273,4,TRAABRB128F9306DD5,
0.0,0.0,7,-5.271,1,150.062,4,TRAABVM128F92CA9DC,Rock
0.0,0.0,7,-6.787,1,138.331,4,TRAABXG128F9318EBD,
0.0,0.0,1,-15.221,1,86.186,3,TRAABYN12903CFD305,
0.0,0.0,11,-8.514,1,110.382,1,TRAABYW128F4244559,
0.0,0.0,2,-8.05,1,111.874,4,TRAACCG128F92E8A55,
0.0,0.0,7,-4.264,1,166.862,4,TRAACER128F4290F96,Metal
0.0,0.0,10,-12.332,1,137.522,4,TRAACFV128F935E50B,
0.0,0.0,7,-5.908,1,164.672,1,TRAACHN128F1489601,
0.0,0.0,6,-6.486,0,125.006,4,TRAACIW12903CC0F6D,
0.0,0.0,5,-4.516,1,90.022,1,TRAACLV128F427E123,
0.0,0.0,8,-9.616,1,127.025,4,TRAACNS128F14A2DF5,
0.0,0.0,8,-18.051,1,95.957,3,TRAACOW128F933E35F,
0.0,0.0,6,-11.939,1,110.189,3,TRAACPE128F421C1B9,RnB
0.0,0.0,4,-15.335,0,138.007,4,TRAACQT128F9331780,Rock
0.0,0.0,10,-10.922,1,130.1,1,TRAACSL128F93462F4,
0.0,0.0,4,-9.983,1,160.839,1,TRAACTB12903CAAF15,Country
0.0,0.0,7,-7.762,1,41.993,1,TRAACVS128E078BE39,
0.0,0.0,9,-9.512,1,189.646,3,TRAACZK128F4243829,
0.0,0.0,4,-9.063,0,130.586,4,TRAADDS128F425C68B,
0.0,0.0,8,-8.879,0,128.292,4,TRAADED128F42741FD,
0.0,0.0,3,-17.699,1,90.932,3,TRAADEV128F9348C0A,
0.0,0.0,1,-19.478,1,89.667,4,TRAADHS12903CE70A9,
0.0,0.0,7,-7.469,1,115.061,4,TRAADIV12903CB15C1,
0.0,0.0,2,-2.022,1,115.887,4,TRAADLH12903CA70EE,Rock
0.0,0.0,9,-10.358,0,139.333,1,TRAADLN128F14832E9,Rock
0.0,0.0,0,-12.716,1,117.271,4,TRAADLR12903CF8D7E,
0.0,0.0,3,-15.663,1,102.428,4,TRAADLX128F1469250,
0.0,0.0,2,-6.944,1,89.984,4,TRAADMH128F9343E59,Blues
0.0,0.0,1,-7.805,1,116.721,4,TRAADNA128F9331246,Blues
0.0,0.0,7,-10.7,1,123.142,4,TRAADOF12903CAA1C1,
0.0,0.0,0,-10.93,1,141.919,4,TRAADQX128F422B4CF,
0.0,0.0,10,-9.493,0,95.596,4,TRAADRN128F932D607,
0.0,0.0,11,-9.253,1,154.953,1,TRAADVH128EF34DE7A,
0.0,0.0,7,-12.009,1,86.091,5,TRAADYB128F92D7E73,Jazz
0.0,0.0,7,-11.043,1,90.218,4,TRAADYI128E078FB38,
0.0,0.0,11,-11.506,0,133.144,1,TRAAEAM128F934B199,
0.0,0.0,2,-14.179,1,205.317,4,TRAAEDJ12903CCE390,
0.0,0.0,9,-8.531,1,180.149,4,TRAAEEH128E0795DFE,
0.0,0.0,0,-8.541,0,102.538,4,TRAAELO128F9302DD1,Electronic
0.0,0.0,0,-6.629,1,84.164,4,TRAAEMJ128F425A917,Pop
0.0,0.0,7,-13.33,1,124.175,4,TRAAENC128F1451DE9,Rock
0.0,0.0,7,-12.412,1,137.004,1,TRAAENP128F147BF32,
0.0,0.0,7,-21.552,1,106.33,4,TRAAEOU128F9309DE0,
0.0,0.0,11,-8.686,0,107.961,4,TRAAERU128F930674F,
0.0,0.0,1,-6.222,1,174.287,3,TRAAEUB12903CDD3EA,
